"NAME";"DESCRIPTION";"CATEGORY";"PRICE"
"Food Processor";"Multi-functional food processor for chopping, blending, and more";"home";"90"
"Smart Doorbell";"Video doorbell with motion detection and two-way communication";"tech";"130"
"Volleyball Set";"Portable volleyball set for beach or backyard games";"sports";"55"
"Water Filter Pitcher";"Filter pitcher for clean and purified drinking water at home";"home";"35"
"Portable Solid State Drive (SSD)";"High-speed and portable storage drive for data";"tech";"150"
"Yoga Towel";"Absorbent and quick-drying towel for yoga practice";"sports";"15"
"Portable Gas Grill";"Compact grill for outdoor picnics and barbecues";"home";"75"
"Wireless Mouse";"Responsive and wireless mouse for everyday computer use";"tech";"30"
"Skiing/Snowboarding Goggles";"Anti-fog goggles for winter sports enthusiasts";"sports";"60"
"Electric Pressure Cooker";"Multi-functional pressure cooker for fast cooking";"home";"70"
"Smart Plug";"Wi-Fi enabled plug for controlling devices remotely";"tech";"20"
"Camping Hammock";"Lightweight and portable hammock for outdoor relaxation";"sports";"40"
"Smart Water Bottle";"Hydration-tracking bottle with reminders to drink water";"home";"25"
"USB-C Hub";"Multi-port hub for connecting various devices to a computer";"tech";"50"
"Golf GPS Watch";"GPS-enabled watch for tracking golf course distances";"sports";"120"
"Air Fryer Toaster Oven";"Combination appliance for air frying and toasting";"home";"110"
"Wireless Router";"High-speed router for seamless internet connectivity";"tech";"80"
"Yoga Wheel";"Wheel-shaped prop to aid in yoga stretches and poses";"sports";"25"
"Electric Wine Opener";"Easy-to-use opener for wine enthusiasts";"home";"30"
"Portable Solid State Drive (SSD)";"High-speed and portable storage drive for data";"tech";"150"
"Adjustable Dumbbells Set";"Space-saving dumbbells with adjustable weight options";"sports";"200"
"Smart Plugs";"Wi-Fi enabled plugs for controlling devices remotely";"home";"35"
"Bluetooth Keyboard";"Wireless keyboard for increased typing convenience";"tech";"45"
"Bike Repair Kit";"Portable kit with tools for bike maintenance";"sports";"15"
"Essential Oil Diffuser";"Aromatherapy diffuser for creating a soothing atmosphere at home";"home";"30"
"Wireless Charging Stand";"Qi-enabled charging stand for smartphones and other devices";"tech";"50"
"Resistance Bands Set";"Versatile bands for various strength and mobility exercises";"sports";"20"
"Bedside Lamp with USB Charging Port";"Multi-functional lamp for reading and charging devices";"home";"40"
"Portable Bluetooth Printer";"Compact printer for wireless printing on-the-go";"tech";"90"
"Soccer Training Cones";"Set of cones for soccer training drills and agility exercises";"sports";"20"
"Robotic Vacuum and Mop";"Smart robot for vacuuming and mopping hard floors";"home";"250"
"Wireless Gaming Headset";"Immersive headset for gaming with wireless connectivity";"tech";"120"
"Yoga Blocks and Strap Set";"Supportive blocks and strap for yoga practice";"sports";"35"
"Portable Blender";"Rechargeable blender for making smoothies anywhere";"home";"70"
